Date,IVV_div_amount,IVV_div_growth,IVV_div_volatility,IVV_div_kurtosis,IVV_div_skewness,BND_div_amount,BND_div_growth,BND_div_volatility,BND_div_kurtosis,BND_div_skewness,MO_div_amount,MO_div_growth,MO_div_volatility,MO_div_kurtosis,MO_div_skewness,JNJ_div_amount,JNJ_div_growth,JNJ_div_volatility,JNJ_div_kurtosis,JNJ_div_skewness,AWK_div_amount,AWK_div_growth,AWK_div_volatility,AWK_div_kurtosis,AWK_div_skewness,CB_div_amount,CB_div_growth,CB_div_volatility,CB_div_kurtosis,CB_div_skewness
2014-01-23,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-01-24,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-01-25,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-01-26,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-01-27,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-01-28,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-01-29,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-01-30,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-01-31,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-01,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-02,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-03,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-04,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-05,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-06,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-07,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-08,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-09,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-10,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-11,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-12,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-13,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-14,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-15,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-16,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-17,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-18,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-19,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-20,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-21,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-22,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-23,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-24,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-25,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-26,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-27,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-02-28,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-01,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-02,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.171,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-03,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.172,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-04,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.172,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-05,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.172,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-06,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.172,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-07,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.172,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-08,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.172,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-09,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.172,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
2014-03-10,0.831,0.10108303249097483,0.11636173369542531,5.753475241920423,-2.3015441805546994,0.172,0.005847953216374213,0.06905402856947647,0.359650566248564,0.2784488870401333,0.48,0.0,0.04166666666666674,0.013278793135129755,1.4422138049616011,0.66,0.06060606060606055,0.030303030303030276,0.24667027955321336,1.4783112900006854,0.28,0.10714285714285698,0.05357142857142849,0.09590322930429238,1.454975507853724,0.63,0.0,0.015873015873015928,0.009109022888009122,1.441570266747396
